Township,Temperature,Precipitation,SynCanLR,SynCanLAS,SynCanRF,SynCanGBR,SynCanXGB,SynCanSVR
E1-01-001,26.79988954,80.09772727,38.36998510347636,38.39887835194682,43.71647848960003,43.53268949313317,41.729015,49.03140905544129
E1-01-002,26.58078677,79.705,39.18752815972245,39.21320018689742,44.94597929530001,45.301806065070856,43.13328,48.97118040814219
E1-01-003,26.34281274,79.37954545,40.07306298125437,40.09533999161609,48.12773411009997,49.9189445467922,48.605988,48.418381056259676
E1-01-004,26.24621291,78.73409091,40.444827682735585,40.465200279833226,52.283072305,50.13684958413855,51.656826,47.73525421317211
E1-01-005,26.21930607,79.74181818,40.51991801632282,40.540977614037615,52.04035561689998,50.17756418157833,51.21344,48.21659265537352
E1-01-006,26.23763066,81.07272727,40.420432793582464,40.44309259081743,53.039904628700036,50.496110543203365,51.655334,48.99016991686555
E1-01-007,26.1957158,82.33681818,40.54473397709393,40.568150535875624,53.54256600790002,50.087015999192715,51.82454,49.41977983428676
E1-01-008,26.01120864,82.20772727,41.228357355605,41.249268023329535,52.946937863699986,49.82904141486991,51.48247,48.479976439111525
E1-01-009,26.07312444,81.75318182,41.01088331596229,41.03212447699568,52.416575871799985,49.82904141486991,50.698887,48.5991622712112
E1-01-010,26.20120102,81.32136364,40.54883956457112,40.571285627674285,53.353590220000044,50.302401577638705,51.638584,48.97320935791435
E1-01-011,26.22576153,80.92318182,40.467794568828474,40.49014836248795,53.31952929370004,50.496110543203365,51.748993,48.870806169081575
E1-01-012,26.26296462,80.60636364,40.33816912457367,40.36067670122297,53.03885487730005,50.496110543203365,51.79477,48.8426459586288
E1-01-013,26.27091356,80.42954545,40.31308828827006,40.335516845422866,51.5626895949,50.496110543203365,51.55459,48.77705501549089
E1-01-014,26.20971739,80.00181818,40.54905321822873,40.570256020635874,51.779191527100004,50.17756418157833,50.41749,48.32304540968041
E1-01-015,26.12758981,79.58727273,40.86190487506092,40.88162617014792,51.201577105999974,49.51049505324488,50.663982,47.7440729368723
E1-01-016,25.97247099,79.33727273,41.44003115862559,41.457500663665364,50.528031327299985,49.51049505324488,50.30061,46.82319269152255
E1-01-017,25.93750718,79.50409091,41.564992325887104,41.58218307238174,49.60380523629998,49.51049505324488,49.413048,46.72099824522924
E1-01-018,26.02124379,79.73181818,41.25068339275477,41.26918481678621,50.63545379369996,49.51049505324488,50.49466,47.30090061255616
